Data (ano/mês/dia),Distância entre a Terra e a Lua (em UA), Constelação que a Lua estará
2019/4/6, 0.0026482297107577324, ('Psc' - 'Pisces')
2019/4/7, 0.002626891480758786, ('Cet' - 'Cetus')
2019/4/8, 0.0026044270489364862, ('Ari' - 'Aries')
2019/4/9, 0.0025811668019741774, ('Tau' - 'Taurus')
2019/4/10, 0.002557336585596204, ('Tau' - 'Taurus')
2019/4/11, 0.0025332095101475716, ('Ori' - 'Orion')
2019/4/12, 0.0025092726573348045, ('Gem' - 'Gemini')
2019/4/13, 0.002486365381628275, ('Gem' - 'Gemini')
2019/4/14, 0.002465746598318219, ('Cnc' - 'Cancer')
2019/4/15, 0.002449046354740858, ('Leo' - 'Leo')
2019/4/16, 0.002438087947666645, ('Leo' - 'Leo')
2019/4/17, 0.0024345864076167345, ('Vir' - 'Virgo')
2019/4/18, 0.002439785050228238, ('Vir' - 'Virgo')
2019/4/19, 0.002454126253724098, ('Vir' - 'Virgo')
2019/4/20, 0.002477056812494993, ('Lib' - 'Libra')
2019/4/21, 0.0025070353876799345, ('Lib' - 'Libra')
2019/4/22, 0.0025417334400117397, ('Sco' - 'Scorpius')
2019/4/23, 0.0025783644523471594, ('Oph' - 'Ophiuchus')
2019/4/24, 0.0026140473783016205, ('Sgr' - 'Sagittarius')
2019/4/25, 0.0026461281813681126, ('Sgr' - 'Sagittarius')
2019/4/26, 0.002672419650480151, ('Sgr' - 'Sagittarius')
2019/4/27, 0.0026913490146398544, ('Cap' - 'Capricornus')
2019/4/28, 0.0027020236011594534, ('Cap' - 'Capricornus')
2019/4/29, 0.002704234793782234, ('Aqr' - 'Aquarius')
2019/4/30, 0.002698408206924796, ('Aqr' - 'Aquarius')
2019/5/1, 0.002685515908524394, ('Aqr' - 'Aquarius')
2019/5/2, 0.0026669518556445837, ('Cet' - 'Cetus')
2019/5/3, 0.002644377527758479, ('Psc' - 'Pisces')
2019/5/4, 0.0026195466052740812, ('Psc' - 'Pisces')
2019/5/5, 0.0025941231288015842, ('Ari' - 'Aries')
2019/5/6, 0.0025695201475173235, ('Tau' - 'Taurus')
2019/5/7, 0.002546784933656454, ('Tau' - 'Taurus')
2019/5/8, 0.0025265603326261044, ('Tau' - 'Taurus')
2019/5/9, 0.002509131096303463, ('Gem' - 'Gemini')
2019/5/10, 0.002494549611583352, ('Gem' - 'Gemini')
2019/5/11, 0.0024828054010868073, ('Cnc' - 'Cancer')
2019/5/12, 0.002473994391039014, ('Leo' - 'Leo')
2019/5/13, 0.002468434628099203, ('Leo' - 'Leo')
2019/5/14, 0.0024666895624250174, ('Leo' - 'Leo')
2019/5/15, 0.0024694837629795074, ('Vir' - 'Virgo')
2019/5/16, 0.0024775229394435883, ('Vir' - 'Virgo')
2019/5/17, 0.002491262275725603, ('Vir' - 'Virgo')
2019/5/18, 0.0025106866378337145, ('Lib' - 'Libra')
2019/5/19, 0.002535167383030057, ('Lib' - 'Libra')
2019/5/20, 0.002563438843935728, ('Oph' - 'Ophiuchus')
2019/5/21, 0.0025936937890946865, ('Oph' - 'Ophiuchus')
2019/5/22, 0.0026237780693918467, ('Sgr' - 'Sagittarius')
2019/5/23, 0.0026514248456805944, ('Sgr' - 'Sagittarius')
2019/5/24, 0.00267449370585382, ('Cap' - 'Capricornus')
2019/5/25, 0.0026911739259958267, ('Cap' - 'Capricornus')
2019/5/26, 0.002700140466913581, ('Aqr' - 'Aquarius')
2019/5/27, 0.0027006592135876417, ('Aqr' - 'Aquarius')
2019/5/28, 0.0026926437858492136, ('Aqr' - 'Aquarius')
2019/5/29, 0.002676666248589754, ('Psc' - 'Pisces')
2019/5/30, 0.002653922187164426, ('Cet' - 'Cetus')
2019/5/31, 0.002626146888360381, ('Psc' - 'Pisces')
2019/6/1, 0.002595474710687995, ('Cet' - 'Cetus')
2019/6/2, 0.0025642437394708395, ('Tau' - 'Taurus')
2019/6/3, 0.002534755039960146, ('Tau' - 'Taurus')
2019/6/4, 0.002509013982489705, ('Tau' - 'Taurus')
2019/6/5, 0.0024885055609047413, ('Gem' - 'Gemini')
2019/6/6, 0.002474050037562847, ('Gem' - 'Gemini')
2019/6/7, 0.002465788507834077, ('Cnc' - 'Cancer')
2019/6/8, 0.0024632990825921297, ('Cnc' - 'Cancer')
2019/6/9, 0.0024658117908984423, ('Leo' - 'Leo')
2019/6/10, 0.0024724570102989674, ('Leo' - 'Leo')
2019/6/11, 0.0024824768770486116, ('Vir' - 'Virgo')
2019/6/12, 0.0024953477550297976, ('Vir' - 'Virgo')
2019/6/13, 0.0025107942055910826, ('Vir' - 'Virgo')
2019/6/14, 0.002528704237192869, ('Lib' - 'Libra')
2019/6/15, 0.002548979828134179, ('Lib' - 'Libra')
2019/6/16, 0.0025713718496263027, ('Oph' - 'Ophiuchus')
2019/6/17, 0.0025953445583581924, ('Oph' - 'Ophiuchus')
2019/6/18, 0.0026200036518275738, ('Sgr' - 'Sagittarius')
2019/6/19, 0.0026441067457199097, ('Sgr' - 'Sagittarius')
2019/6/20, 0.002666143700480461, ('Sgr' - 'Sagittarius')
2019/6/21, 0.0026844751555472612, ('Cap' - 'Capricornus')
2019/6/22, 0.0026974978391081095, ('Cap' - 'Capricornus')
2019/6/23, 0.0027038136031478643, ('Aqr' - 'Aquarius')
2019/6/24, 0.002702387049794197, ('Aqr' - 'Aquarius')
2019/6/25, 0.0026926801074296236, ('Psc' - 'Pisces')
2019/6/26, 0.0026747535448521376, ('Cet' - 'Cetus')
2019/6/27, 0.00264933449216187, ('Psc' - 'Pisces')
2019/6/28, 0.0026178343687206507, ('Cet' - 'Cetus')
2019/6/29, 0.0025823067408055067, ('Ari' - 'Aries')
2019/6/30, 0.002545326016843319, ('Tau' - 'Taurus')
2019/7/1, 0.0025097685866057873, ('Tau' - 'Taurus')
2019/7/2, 0.0024785057175904512, ('Ori' - 'Orion')
2019/7/3, 0.0024540340527892113, ('Gem' - 'Gemini')
2019/7/4, 0.0024381198454648256, ('Cnc' - 'Cancer')
2019/7/5, 0.0024315533228218555, ('Cnc' - 'Cancer')
2019/7/6, 0.002434088382869959, ('Leo' - 'Leo')
2019/7/7, 0.0024445957969874144, ('Leo' - 'Leo')
2019/7/8, 0.0024613779969513416, ('Vir' - 'Virgo')
2019/7/9, 0.00248253857716918, ('Vir' - 'Virgo')
2019/7/10, 0.0025063094217330217, ('Vir' - 'Virgo')
2019/7/11, 0.002531262580305338, ('Lib' - 'Libra')
2019/7/12, 0.0025563878007233143, ('Lib' - 'Libra')
2019/7/13, 0.0025810529477894306, ('Sco' - 'Scorpius')
2019/7/14, 0.0026048847939819098, ('Oph' - 'Ophiuchus')
2019/7/15, 0.0026276144199073315, ('Sgr' - 'Sagittarius')
2019/7/16, 0.0026489258743822575, ('Sgr' - 'Sagittarius')
2019/7/17, 0.002668344182893634, ('Sgr' - 'Sagittarius')
2019/7/18, 0.0026851759757846594, ('Cap' - 'Capricornus')
2019/7/19, 0.002698516007512808, ('Cap' - 'Capricornus')
2019/7/20, 0.0027073111850768328, ('Aqr' - 'Aquarius')
2019/7/21, 0.0027104695327579975, ('Aqr' - 'Aquarius')
2019/7/22, 0.002706998959183693, ('Aqr' - 'Aquarius')
2019/7/23, 0.0026961590629070997, ('Cet' - 'Cetus')
2019/7/24, 0.0026776145678013563, ('Cet' - 'Cetus')
2019/7/25, 0.002651572460308671, ('Psc' - 'Pisces')
2019/7/26, 0.0026188951451331377, ('Ari' - 'Aries')
2019/7/27, 0.0025811647064983845, ('Tau' - 'Taurus')
2019/7/28, 0.0025406794156879187, ('Tau' - 'Taurus')
2019/7/29, 0.0025003445334732533, ('Tau' - 'Taurus')
2019/7/30, 0.0024634338915348053, ('Gem' - 'Gemini')
2019/7/31, 0.002433209214359522, ('Gem' - 'Gemini')
2019/8/1, 0.0024124453775584698, ('Cnc' - 'Cancer')
2019/8/2, 0.0024029577616602182, ('Leo' - 'Leo')
2019/8/3, 0.002405280014500022, ('Leo' - 'Leo')
2019/8/4, 0.00241860537789762, ('Leo' - 'Leo')
2019/8/5, 0.002441020216792822, ('Vir' - 'Virgo')
2019/8/6, 0.0024699412751942873, ('Vir' - 'Virgo')
2019/8/7, 0.002502605551853776, ('Vir' - 'Virgo')
2019/8/8, 0.0025364828761667013, ('Lib' - 'Libra')
2019/8/9, 0.0025695369113236666, ('Sco' - 'Scorpius')
2019/8/10, 0.0026003236416727304, ('Oph' - 'Ophiuchus')
2019/8/11, 0.002627962501719594, ('Sgr' - 'Sagittarius')
2019/8/12, 0.0026520199608057737, ('Sgr' - 'Sagittarius')
2019/8/13, 0.002672349801287055, ('Sgr' - 'Sagittarius')
2019/8/14, 0.0026889299042522907, ('Cap' - 'Capricornus')
2019/8/15, 0.002701716497540474, ('Cap' - 'Capricornus')
2019/8/16, 0.002710543340072036, ('Aqr' - 'Aquarius')
2019/8/17, 0.002715070964768529, ('Aqr' - 'Aquarius')
2019/8/18, 0.00271479575894773, ('Aqr' - 'Aquarius')
2019/8/19, 0.0027091125957667828, ('Psc' - 'Pisces')
2019/8/20, 0.0026974226348102093, ('Cet' - 'Cetus')
2019/8/21, 0.0026792739517986774, ('Psc' - 'Pisces')
2019/8/22, 0.002654522191733122, ('Cet' - 'Cetus')
2019/8/23, 0.0026234914548695087, ('Tau' - 'Taurus')
2019/8/24, 0.002587118884548545, ('Tau' - 'Taurus')
2019/8/25, 0.0025470550172030926, ('Tau' - 'Taurus')
2019/8/26, 0.0025056847371160984, ('Gem' - 'Gemini')
2019/8/27, 0.0024660276249051094, ('Gem' - 'Gemini')
2019/8/28, 0.002431478351354599, ('Cnc' - 'Cancer')
2019/8/29, 0.0024053757078945637, ('Cnc' - 'Cancer')
2019/8/30, 0.0023904573172330856, ('Leo' - 'Leo')
2019/8/31, 0.00238832738250494, ('Leo' - 'Leo')
2019/9/1, 0.002399117685854435, ('Vir' - 'Virgo')
2019/9/2, 0.0024214680306613445, ('Vir' - 'Virgo')
2019/9/3, 0.0024528412614017725, ('Vir' - 'Virgo')
2019/9/4, 0.002490042941644788, ('Lib' - 'Libra')
2019/9/5, 0.0025297764223068953, ('Lib' - 'Libra')
